v,a,tem,soc,Profile
3.552442789,-0.000270769,19.8401432,1,
3.552442789,-0.000270769,20.09653473,0.999999928,
3.552134991,-0.000270769,20.09653473,0.999999857,
3.552134991,-9.03E-05,20.02131081,0.999999808,
3.551827192,-0.000270769,19.79560852,0.99999976,
3.551827192,-0.000270769,19.94608116,0.999999689,
3.551211596,-0.000451223,19.76490211,0.999999593,
3.551519394,-0.000270769,19.76490211,0.999999497,
3.551211596,-0.000270769,20.06583595,0.999999425,
3.550903797,-0.000270769,19.99061012,0.999999353,
3.550595999,-0.000451223,19.87084579,0.999999257,
3.550288439,-0.000451223,19.8401432,0.999999137,
3.54998064,-0.000451223,19.8401432,0.999999016,
3.54998064,-0.000451223,19.79560852,0.999998896,
3.549672842,-0.000451223,19.76490211,0.999998776,
3.549672842,-0.000270769,19.87084579,0.99999868,
3.549365044,-0.000451223,19.79560852,0.999998584,
3.549057245,-0.000451223,19.99061012,0.999998464,
3.549057245,-0.000270769,19.91537857,0.999998368,
3.549057245,-0.000270769,20.11036491,0.999998296,
3.389939785,-0.926179707,19.8401432,0.999875615,
3.37793684,-0.911382496,20.02131081,0.999632263,
3.272371292,-1.476744533,20.06583595,0.999316026,
3.200968504,-1.80246377,19.79560852,0.998881242,
3.145262003,-2.036692858,19.8401432,0.998367767,
3.094172239,-2.251252651,19.6896553,0.997799949,
3.361624956,-0.613994479,19.8401432,0.99742013,
3.318229198,-0.896765709,19.79560852,0.99722007,
3.010150671,-2.679830551,19.76490211,0.996746376,
3.232053518,-1.267237544,19.91537857,0.9962237,
3.273602486,-1.023263931,20.02131081,0.995920392,
3.371781349,-0.443285078,20.17175484,0.99572619,
3.464728117,0.08273802,19.94608116,0.995678389,
3.485348701,0.170077711,19.79560852,0.995712205,
3.489042044,0.170077711,19.8401432,0.995757249,
3.483809948,0.121355154,19.8401432,0.995795936,
3.492427349,0.16087456,19.76490211,0.99583331,
3.656776905,1.106272459,19.72036362,0.996002786,
3.5973773,0.691589475,19.8401432,0.996240867,
3.451801777,-0.175311044,19.76490211,0.996309915,
3.40163517,-0.443285078,19.91537857,0.99622718,
3.395479679,-0.453390479,19.6896553,0.996108321,
3.369934797,-0.584760904,19.76490211,0.995970815,
3.267446995,-1.159326077,19.6896553,0.995739862,
3.124025822,-1.939789176,19.91537857,0.995325376,
3.075706005,-2.148754835,19.91537857,0.994783967,
3.095095396,-1.97840631,19.76490211,0.994232209,
3.339157581,-0.521602035,19.91537857,0.993901017,
3.423794508,-0.053685121,19.8401432,0.993824076,
3.404097319,-0.185596913,19.94608116,0.99379239,
3.533976555,0.55552721,19.6896553,0.993841377,
3.622306585,1.032466888,19.79560852,0.99405166,
3.574602127,0.706386685,19.6896553,0.994281921,
3.525666714,0.399615049,19.6896553,0.994428562,
3.4253335,-0.189927816,19.79560852,0.994456329,
3.159419537,-1.710612774,19.79560852,0.994202148,
3.079091311,-2.100212812,19.8401432,0.993692579,
3.084015608,-2.008000851,19.87084579,0.993148566,
3.07262826,-2.027309418,19.8401432,0.992614072,
3.162189484,-1.471691847,19.94608116,0.99215015,
3.27052474,-0.828554153,19.94608116,0.991842516,
3.291145325,-0.711620033,19.72036362,0.99163831,
3.325307846,-0.511677086,20.06583595,0.991476113,
3.426872253,0.072632603,19.79560852,0.991417975,
3.380398989,-0.215010896,19.8401432,0.991399121,
3.318229198,-0.575377345,19.8401432,0.991293416,
3.328077793,-0.506804824,19.6896553,0.991150106,
3.377629042,-0.219522253,19.72036362,0.991052963,
3.379475594,-0.214830443,19.79560852,0.990995445,
3.35454607,-0.360456735,19.8401432,0.990918502,
3.246518612,-0.979954958,19.79560852,0.990740777,
3.239439964,-0.999083042,19.8401432,0.990476212,
3.316998243,-0.530985653,19.79560852,0.990273563,
3.413638115,0.024451414,19.76490211,0.990206377,
3.433950901,0.126588315,19.91537857,0.990226399,
3.325000286,-0.511677086,19.8401432,0.990175404,
3.262214899,-0.862659931,19.87084579,0.989993413,
3.208355188,-1.15481472,19.6451149,0.989723582,
3.336695433,-0.394562513,19.94608116,0.989518407,
3.409329414,0.019037798,19.76490211,0.989468184,
3.2532897,-0.892073929,19.8401432,0.989352576,
3.209278345,-1.125400782,19.91537857,0.989085421,
3.163420677,-1.369554877,19.76490211,0.988751801,
3.084939003,-1.797952414,19.76490211,0.98833175,
3.159111738,-1.339960456,19.94608116,0.987916213,
3.190504313,-1.145250678,19.8401432,0.987587121,
3.237285614,-0.867351711,19.91537857,0.987320609,
3.234823465,-0.877276659,19.79560852,0.987087277,
3.23174572,-0.891893446,19.87084579,0.98685071,
3.299762964,-0.492188066,19.91537857,0.986667383,
3.358239412,-0.156002477,19.91537857,0.986580694,
3.331771135,-0.317147791,19.91537857,0.986518038,
3.332078934,-0.317147791,19.79560852,0.986434043,
3.275141239,-0.647919774,20.09653473,0.986306248,
3.204969645,-1.043113828,19.91537857,0.986082321,
3.396095276,0.07245215,19.87084579,0.985953624,
3.409945011,0.135791466,19.91537857,0.985981476,
3.401019573,0.072813056,19.76490211,0.986009376,
3.241594315,-0.8525545,19.99061012,0.985905117,
3.183425665,-1.169431567,19.91537857,0.985637302,
3.203123093,-1.037880659,19.8401432,0.985344639,
3.251750708,-0.745725811,20.09653473,0.98510845,
3.264677048,-0.667589247,19.94608116,0.984921109,
3.322230339,-0.33122322,19.94608116,0.98478865,
3.404097319,0.135971919,19.91537857,0.984762794,
3.418562412,0.204544395,19.76490211,0.984808332,
3.274833441,-0.633303046,20.09653473,0.98475149,
3.232053518,-0.867351711,19.8401432,0.984552501,
3.174192429,-1.188920498,19.8401432,0.98427986,
3.167113781,-1.213462234,19.76490211,0.983958541,
3.143107653,-1.3354491,19.76490211,0.983620992,
3.180040121,-1.110964417,19.94608116,0.983293825,
3.231437922,-0.803831935,19.8401432,0.983037786,
3.338541985,-0.185596913,19.76490211,0.982906737,
3.396095276,0.135971919,19.76490211,0.9829001,
3.732180834,2.060873508,19.91537857,0.983191013,
3.710944653,1.886013746,19.8401432,0.983714323,
3.697094917,1.768899202,19.76490211,0.984198332,
3.655853748,1.500925183,19.91537857,0.984631325,
3.607841492,1.198484421,19.87084579,0.984988836,
3.555520535,0.881607413,19.91537857,0.985264601,
3.404097319,-0.000270769,19.8401432,0.985382472,
3.402250528,-0.000451223,19.76490211,0.985382376,
3.40163517,-0.000270769,19.94608116,0.98538228,
3.401327372,-0.000451223,19.8401432,0.985382184,
3.401019573,-9.03E-05,19.91537857,0.985382112,
3.401019573,-0.000451223,19.76490211,0.98538204,
3.401019573,-0.000451223,19.94608116,0.98538192,
3.401019573,-0.000451223,19.76490211,0.9853818,
3.401019573,-0.000270769,19.76490211,0.985381704,
3.400711775,-0.000451223,19.72036362,0.985381608,
3.401019573,-0.000451223,19.91537857,0.985381488,
3.401019573,-0.000451223,19.91537857,0.985381369,
3.401327372,-0.000451223,19.91537857,0.985381248,
3.40163517,-0.000270769,19.76490211,0.985381152,
3.401327372,-0.000451223,19.6896553,0.985381056,
3.401327372,-0.000270769,19.87084579,0.98538096,
3.40163517,-0.000270769,19.6896553,0.985380889,
3.401327372,-0.000451223,19.99061012,0.985380793,
3.401942968,-0.000270769,19.76490211,0.985380696,
3.401942968,-0.000451223,19.6896553,0.985380601,
3.401942968,-0.000270769,19.91537857,0.985380505,
3.401942968,-0.000270769,19.76490211,0.985380433,
3.401942968,-0.000451223,19.8401432,0.985380338,
3.401942968,-0.000451223,19.76490211,0.985380218,
3.402250528,-0.000451223,19.6896553,0.985380098,
3.402250528,-0.000451223,19.87084579,0.985379978,
3.402866125,-0.000270769,19.72036362,0.985379882,
3.402558327,-0.000451223,19.6896553,0.985379786,
3.402866125,-0.000270769,19.8401432,0.985379689,
3.402866125,-0.000451223,19.91537857,0.985379593,
3.402558327,-0.000451223,19.8401432,0.985379474,
3.402866125,-0.000451223,20.09653473,0.985379354,
3.403173923,-0.000270769,19.79560852,0.985379258,
3.403173923,-0.000270769,19.8401432,0.985379186,
3.403173923,-0.000451223,19.76490211,0.98537909,
3.403481722,-9.03E-05,20.06583595,0.985379019,
3.403481722,-0.000270769,19.91537857,0.985378971,
3.403481722,-0.000451223,20.02131081,0.985378875,
